episode:115 	| reward:626.37 	| took:26.94s 	| avrege:84.95 	| loss:(actor:-8.34, critic:0.01)
episode:116 	| reward:187.29 	| took:8.25s 	| avrege:86.49 	| loss:(actor:-8.47, critic:1.89)
episode:117 	| reward:169.04 	| took:7.87s 	| avrege:87.67 	| loss:(actor:-8.44, critic:0.09)
episode:118 	| reward:174.19 	| took:7.53s 	| avrege:89.03 	| loss:(actor:-9.14, critic:1.13)
episode:119 	| reward:40.95 	| took:1.77s 	| avrege:88.90 	| loss:(actor:-9.01, critic:0.05)
episode:120 	| reward:94.48 	| took:4.00s 	| avrege:89.50 	| loss:(actor:-9.09, critic:0.03)
episode:121 	| reward:136.45 	| took:5.68s 	| avrege:90.55 	| loss:(actor:-9.28, critic:2.46)
episode:122 	| reward:120.41 	| took:5.13s 	| avrege:91.44 	| loss:(actor:-8.98, critic:2.40)
episode:123 	| reward:211.63 	| took:8.80s 	| avrege:93.20 	| loss:(actor:-9.39, critic:0.03)
episode:124 	| reward:225.45 	| took:8.73s 	| avrege:95.12 	| loss:(actor:-9.74, critic:0.06)
episode:125 	| reward:177.80 	| took:7.31s 	| avrege:96.37 	| loss:(actor:-9.95, critic:1.46)
episode:126 	| reward:12.00 	| took:0.79s 	| avrege:96.13 	| loss:(actor:-10.31, critic:1.60)
episode:127 	| reward:165.31 	| took:6.02s 	| avrege:97.45 	| loss:(actor:-9.93, critic:0.02)
episode:128 	| reward:174.58 	| took:7.12s 	| avrege:98.69 	| loss:(actor:-9.77, critic:2.92)
episode:129 	| reward:119.04 	| took:4.60s 	| avrege:99.36 	| loss:(actor:-10.18, critic:1.80)
episode:130 	| reward:125.26 	| took:4.77s 	| avrege:99.47 	| loss:(actor:-10.33, critic:0.02)
episode:131 	| reward:129.94 	| took:5.18s 	| avrege:100.40 	| loss:(actor:-10.41, critic:1.32)
episode:132 	| reward:185.91 	| took:7.15s 	| avrege:101.90 	| loss:(actor:-10.68, critic:2.06)
